Asar Example|HEX|Bytes
ADC (X),(Y)|99|1
ADC A,<i>|88|2
ADC A,(X)|86|1
ADC A,(<d>)+Y|97|2
ADC A,(<d>+X)|87|2
ADC A,<d>|84|2
ADC A,<d>+X|94|2
ADC A,<a>|85|3
ADC A,<a>+X|95|3
ADC A,<a>+Y|96|3
ADC <d1>,<d2>|89|3
ADC <d>,<i>|98|3
ADDW YA,<d>|7A|2
AND (X),(Y)|39|1
AND A,<i>|28|2
AND A,(X)|26|1
AND A,(<d>)+Y|37|2
AND A,(<d>+X)|27|2
AND A,<d>|24|2
AND A,<d>+X|34|2
AND A,<a>|25|3
AND A,<a>+X|35|3
AND A,<a>+Y|36|3
AND <d1>,<d2>|29|3
AND <d>,<i>|38|3
AND1 C,!<a>|6A|3
AND1 C,<a>|4A|3
ASL A|1C|1
ASL <d>|0B|2
ASL <d>+X|1B|2
ASL <a>|0C|3
BBC0 <d1>,<d2>|13|3
BBC1 <d1>,<d2>|33|3
BBC2 <d1>,<d2>|53|3
BBC3 <d1>,<d2>|73|3
BBC4 <d1>,<d2>|93|3
BBC5 <d1>,<d2>|B3|3
BBC6 <d1>,<d2>|D3|3
BBC7 <d1>,<d2>|F3|3
BBS0 <d1>,<d2>|3|3
BBS1 <d1>,<d2>|23|3
BBS2 <d1>,<d2>|43|3
BBS3 <d1>,<d2>|63|3
BBS4 <d1>,<d2>|83|3
BBS5 <d1>,<d2>|A3|3
BBS6 <d1>,<d2>|C3|3
BBS7 <d1>,<d2>|E3|3
BCC <d>|90|2
BCS <d>|B0|2
BEQ <d>|F0|2
BMI <d>|30|2
BNE <d>|D0|2
BPL <d>|10|2
BVC <d>|50|2
BVS <d>|70|2
BRA <d>|2F|2
BRK|0F|1
CALL <a>|3F|3
CBNE <d>+X,<d>|DE|3
CBNE <d1>,<d2>|2E|3
CLR0 <d>|12|2
CLR1 <d>|32|2
CLR2 <d>|52|2
CLR3 <d>|72|2
CLR4 <d>|92|2
CLR5 <d>|B2|2
CLR6 <d>|D2|2
CLR7 <d>|F2|2
CLRC|60|1
CLRP|20|1
CLRV|E0|1
CMP (X),(Y)|79|1
CMP A,<i>|68|2
CMP A,(X)|66|1
CMP A,(<d>)+Y|77|2
CMP A,(<d>+X)|67|2
CMP A,<d>|64|2
CMP A,<d>+X|74|2
CMP A,<a>|65|3
CMP A,<a>+X|75|3
CMP A,<a>+Y|76|3
CMP X,<i>|C8|2
CMP X,<d>|3E|2
CMP X,<a>|1E|3
CMP Y,<i>|AD|2
CMP Y,<d>|7E|2
CMP Y,<a>|5E|3
CMP <d1>,<d2>|69|3
CMP <d>,<i>|78|3
CMPW YA,<d>|5A|2
DAA A|DF|1
DAS A|BE|1
DBNZ Y,<d>|FE|2
DBNZ <d1>,<d2>|6E|3
DEC A|9C|1
DEC X|1D|1
DEC Y|DC|1
DEC <d>|8B|2
DEC <d>+X|9B|2
DEC <a>|8C|3
DECW <d>|1A|2
DI|C0|1
DIV YA,X|9E|1
EI|A0|1
EOR (X),(Y)|59|1
EOR A,<i>|48|2
EOR A,(X)|46|1
EOR A,(<d>)+Y|57|2
EOR A,(<d>+X)|47|2
EOR A,<d>|44|2
EOR A,<d>+X|54|2
EOR A,<a>|45|3
EOR A,<a>+X|55|3
EOR A,<a>+Y|56|3
EOR <d1>,<d2>|49|3
EOR <d>,<i>|58|3
EOR1 C,<a>|8A|3
INC A|BC|1
INC X|3D|1
INC Y|FC|1
INC <d>|AB|2
INC <d>+X|BB|2
INC <a>|AC|3
INCW <d>|3A|2
JMP (<a>+X)|1F|3
JMP <a>|5F|3
LSR A|5C|1
LSR <d>|4B|2
LSR <d>+X|5B|2
LSR <a>|4C|3
MOV (X+),A|AF|1
MOV (X),A|C6|1
MOV (<d>)+Y,A|D7|2
MOV (<d>+X),A|C7|2
MOV A,<i>|E8|2
MOV A,(X)|E6|1
MOV A,(X+)|BF|1
MOV A,(<d>)+Y|F7|2
MOV A,(<d>+X)|E7|2
